Episode,Avg_Waiting_Time,Avg_Queue_Length,Throughput,Total_Violations,Phase_Violations,Duration_Violations,Env_Violations
207,353.61,37.33,26.2556,0,0,0,0
208,353.61,37.33,26.2556,0,0,0,0
209,290.24,50.67,21.9556,0,0,0,118
210,355.78,34.4,26.2556,0,0,0,709
211,353.61,37.33,26.2556,0,0,0,0
212,353.61,37.33,26.2556,0,0,0,0
213,357.11,24.0,39.3833,0,0,0,0
214,283.2,37.33,33.6,0,0,0,343
215,353.61,37.33,26.2556,0,0,0,315
216,353.61,37.33,26.2556,0,0,0,0
217,353.61,37.33,26.2556,0,0,0,0
218,353.61,37.33,26.2556,0,0,0,0
219,272.97,52.8,21.8056,0,0,0,145
220,353.61,37.33,26.2556,0,0,0,0
221,353.61,37.33,26.2556,0,0,0,268
222,353.61,37.33,26.2556,0,0,0,0
223,336.1,50.67,15.4028,0,0,0,347
224,353.61,37.33,26.2556,0,0,0,74
225,353.61,37.33,26.2556,0,0,0,0
226,353.61,37.33,26.2556,0,0,0,0
227,353.61,37.33,26.2556,0,0,0,101
228,353.61,37.33,26.2556,0,0,0,0
229,353.61,37.33,26.2556,0,0,0,0
230,353.61,37.33,26.2556,0,0,0,321
231,353.61,37.33,26.2556,0,0,0,0
232,302.16,50.67,20.1778,0,0,0,279
233,291.31,50.67,21.8056,0,0,0,563
234,307.98,64.0,7.8722,0,0,0,144
235,353.61,37.33,26.2556,0,0,0,0
236,353.61,37.33,26.2556,0,0,0,0
237,327.68,50.67,16.6611,0,0,0,0
238,353.61,37.33,26.2556,0,0,0,343
239,341.91,50.67,14.5833,0,0,0,11
240,353.61,37.33,26.2556,0,0,0,0
241,353.61,37.33,26.2556,0,0,0,5
242,353.61,37.33,26.2556,0,0,0,0
243,271.89,50.67,24.4389,0,0,0,51
244,353.61,37.33,26.2556,0,0,0,283
245,353.61,37.33,26.2556,0,0,0,0
246,353.61,37.33,26.2556,0,0,0,0
247,355.83,32.73,26.2556,0,0,0,349
248,353.61,37.33,26.2556,0,0,0,0
249,333.23,50.67,15.8056,0,0,0,567
250,353.61,37.33,26.2556,0,0,0,0
251,353.61,37.33,26.2556,0,0,0,0
252,353.61,37.33,26.2556,0,0,0,0
253,353.61,37.33,26.2556,0,0,0,0
254,314.82,50.67,18.4722,0,0,0,241
255,353.61,37.33,26.2556,0,0,0,0
256,353.61,37.33,26.2556,0,0,0,0
257,346.1,50.67,13.9944,0,0,0,0
258,353.61,37.33,26.2556,0,0,0,95
259,353.61,37.33,26.2556,0,0,0,0
260,353.61,37.33,26.2556,0,0,0,0
261,353.61,37.33,26.2556,0,0,0,0
262,328.47,50.67,16.55,0,0,0,264
263,353.61,37.33,26.2556,0,0,0,652
264,278.99,50.67,23.4389,0,0,0,327
265,353.61,37.33,26.2556,0,0,0,0
266,353.61,37.33,26.2556,0,0,0,0
267,353.61,37.33,26.2556,0,0,0,248
268,353.61,37.33,26.2556,0,0,0,0
269,324.26,37.33,29.4167,0,0,0,1
270,353.61,37.33,26.2556,0,0,0,0
271,353.61,37.33,26.2556,0,0,0,0
272,353.54,37.33,26.2778,0,0,0,354
273,353.61,37.33,26.2556,0,0,0,265
274,353.61,37.33,26.2556,0,0,0,0
275,357.11,24.0,39.3833,0,0,0,0
276,353.54,37.33,26.2778,0,0,0,0
277,312.45,50.67,18.8056,0,0,0,203
278,353.61,37.33,26.2556,0,0,0,0
279,353.61,37.33,26.2556,0,0,0,0
280,265.87,50.67,25.3611,0,0,0,26
281,264.8,50.67,25.5111,0,0,0,22
282,353.61,37.33,26.2556,0,0,0,0
283,333.47,50.67,15.7722,0,0,0,4
284,353.61,37.33,26.2556,0,0,0,0
285,353.61,37.33,26.2556,0,0,0,0
286,353.61,37.33,26.2556,0,0,0,0
287,353.61,37.33,26.2556,0,0,0,0
288,353.61,37.33,26.2556,0,0,0,0
289,269.0,50.67,24.8444,0,0,0,1
290,281.1,50.67,23.2167,0,0,0,155
291,303.76,50.67,20.0278,0,0,0,254
292,353.61,37.33,26.2556,0,0,0,0
293,353.61,37.33,26.2556,0,0,0,1
294,302.15,64.0,8.9167,0,0,0,163
295,353.61,37.33,26.2556,0,0,0,0
296,322.41,50.67,17.3278,0,0,0,0
297,353.61,37.33,26.2556,0,0,0,0
298,353.61,37.33,26.2556,0,0,0,78
299,353.61,37.33,26.2556,0,0,0,312
300,307.41,50.67,19.4389,0,0,0,4
301,353.61,37.33,26.2556,0,0,0,0
302,353.61,37.33,26.2556,0,0,0,0
