Episode,Avg_Waiting_Time,Avg_Queue_Length,Throughput,Total_Violations,Phase_Violations,Duration_Violations,Actual_Violations
200,254.5,73.07,3.7306,1060,1060,0,0
201,301.76,55.8,14.1333,955,955,0,0
202,297.56,77.93,0.7472,1875,1875,0,0
203,188.21,78.0,1.7661,822,822,0,0
204,234.09,77.6,2.1611,1590,1590,0,0
205,281.92,79.87,2.425,1845,1845,0,0
206,260.39,77.8,3.8583,1065,1065,0,0
207,261.37,71.73,1.4861,1040,1040,0,0
208,310.67,77.13,1.0139,970,970,0,0
209,164.55,74.47,4.3065,749,749,0,0
210,311.61,78.53,0.7889,1335,1335,0,0
211,231.67,81.6,1.1889,1775,1775,0,0
212,277.52,74.93,2.5944,610,610,0,0
213,297.31,78.93,1.8889,730,730,0,0
214,277.12,77.4,1.3167,1475,1475,0,0
215,211.14,69.47,0.879,684,684,0,0
216,278.54,78.07,0.9028,1665,1665,0,0
217,240.4,79.47,3.0611,1235,1235,0,0
218,283.0,77.2,0.7333,1645,1645,0,0
219,271.53,71.93,2.1389,1000,1000,0,0
220,283.87,77.8,1.9444,955,955,0,0
221,181.11,76.53,4.8952,877,877,0,0
222,249.99,76.0,6.7611,925,925,0,0
223,295.06,77.07,3.2556,1510,1510,0,0
224,272.82,62.33,14.275,945,945,0,0
225,251.01,74.93,1.4972,1155,1155,0,0
226,241.92,80.0,5.6306,755,755,0,0
227,173.85,73.2,5.5161,281,281,0,0
228,259.38,77.2,2.8222,665,665,0,0
229,297.04,77.4,0.8167,940,940,0,0
230,274.02,63.73,16.75,535,535,0,0
231,257.36,73.47,3.7694,1185,1185,0,0
232,259.88,72.53,4.8028,990,990,0,0
233,198.35,61.8,17.4597,371,371,0,0
234,325.39,75.13,0.4222,1775,1775,0,0
235,230.8,56.47,12.2861,1010,1010,0,0
236,256.48,73.4,6.175,1270,1270,0,0
237,260.7,79.53,2.0556,1230,1230,0,0
238,232.37,75.87,4.3389,820,820,0,0
239,201.6,71.0,2.2218,1050,1050,0,0
240,214.65,70.4,11.6722,620,620,0,0
241,310.13,75.27,0.4806,1225,1225,0,0
242,265.36,74.67,2.7611,815,815,0,0
243,235.09,61.2,10.4056,270,270,0,0
244,269.14,75.07,1.8611,995,995,0,0
245,166.23,60.53,2.9194,393,393,0,0
246,289.25,64.47,13.2667,780,780,0,0
247,240.69,64.6,2.6194,575,575,0,0
248,275.84,59.2,20.0667,160,160,0,0
249,302.89,57.07,19.3278,320,320,0,0
250,226.14,73.47,3.1944,1165,1165,0,0
251,121.96,75.87,6.5726,296,296,0,0
252,309.33,71.0,4.1667,1405,1405,0,0
253,316.92,43.73,26.4556,50,50,0,0
254,273.68,71.0,2.3889,1090,1090,0,0
255,221.68,71.07,1.8806,520,520,0,0
256,257.22,58.2,13.7861,1315,1315,0,0
257,201.68,57.47,18.8065,489,489,0,0
258,297.79,42.2,26.7222,480,480,0,0
259,196.84,56.13,20.5639,425,425,0,0
260,254.83,73.13,2.3083,615,615,0,0
